epoch,train_loss,val_loss,track_24h_km,track_48h_km,track_72h_km,wind_mae_kt,ri_f1,lr,elapsed_s
1,7491.075968,2324.518379,1547.4,1529.29,1659.76,28.17,0.0,0.0001,17.3
2,1526.848313,1193.840578,712.45,723.55,714.69,22.37,0.0,0.0001,35.4
3,932.43693,787.419088,314.35,340.54,375.91,21.54,0.0,0.0001,53.7
4,803.586851,779.685081,328.4,359.57,398.49,20.94,0.0,0.0001,71.6
5,769.056478,687.682969,251.25,295.11,354.25,19.51,0.0,0.0001,89.5
6,713.562298,561.455063,264.2,290.91,351.76,13.43,0.0,0.0001,107.3
7,639.929864,518.937717,279.05,318.82,369.87,10.08,0.0,0.0001,125.2
8,600.880826,548.047003,342.98,351.76,393.46,9.42,0.0,0.0001,143.4
9,586.48137,411.833185,191.31,230.11,294.85,8.72,0.0,0.0001,162.0
10,574.56263,432.502171,204.19,245.21,310.54,8.69,0.0,0.0001,180.7
11,564.24001,544.87716,329.03,368.16,409.96,8.71,0.0,0.0001,199.3
12,561.898777,456.048509,245.78,273.09,333.45,8.65,0.0,0.0001,217.9
13,550.186854,435.408397,220.36,259.92,324.93,8.62,0.0,0.0001,236.4
14,553.517637,496.659943,281.45,305.87,362.68,8.74,0.0,0.0001,255.0
15,551.022005,468.352103,235.51,282.38,347.14,8.56,0.0,0.0001,274.0
16,547.554687,477.185181,269.75,306.23,360.32,8.47,0.0,5e-05,294.5
17,528.220975,423.366272,223.45,241.34,297.16,8.28,0.0,5e-05,313.4
18,529.101025,512.075972,293.83,336.0,387.85,8.4,0.0,5e-05,332.2
19,530.125778,426.729834,207.6,250.91,308.77,8.53,0.0,5e-05,351.1
20,523.830774,492.281928,280.33,312.21,371.62,8.32,0.0,5e-05,369.8
21,515.288267,405.764785,187.52,231.12,299.65,8.28,0.0,5e-05,388.7
22,517.216931,426.859354,204.55,246.97,313.5,8.33,0.0,5e-05,407.7
23,520.063864,426.470802,190.83,241.78,317.41,8.42,0.0,5e-05,426.7
24,511.449932,459.270651,226.06,275.84,339.67,8.44,0.0,5e-05,445.5
25,510.736886,421.973442,188.98,237.9,307.93,8.46,0.0,5e-05,464.3
26,514.066057,458.295343,239.75,277.72,339.73,8.39,0.0,5e-05,483.2
27,507.737302,448.912542,227.17,268.4,334.19,8.51,0.0,5e-05,503.8
28,509.291824,406.184467,190.75,228.44,295.17,8.53,0.0,2.5e-05,555.1
29,504.755834,410.801314,192.77,232.04,299.67,8.65,0.0,2.5e-05,604.2
30,504.3674,411.185204,189.93,230.85,297.25,8.56,0.0,2.5e-05,621.3
31,502.667896,429.467608,219.5,251.41,311.91,8.48,0.0,2.5e-05,638.9
32,502.315759,444.279208,219.94,266.56,336.05,8.59,0.0,2.5e-05,656.9
33,496.76113,436.906046,208.1,257.99,328.6,8.56,0.0,2.5e-05,674.7
34,501.170055,426.027462,208.85,248.88,310.76,8.51,0.0,2.5e-05,692.5
35,499.770494,440.712726,214.87,258.4,324.19,8.59,0.0,1.25e-05,710.2
36,493.57696,401.262705,175.89,221.66,291.99,8.55,0.0,1.25e-05,727.9
37,495.090704,408.447341,181.41,228.21,299.76,8.53,0.0,1.25e-05,745.8
38,496.910118,412.922385,188.89,232.34,300.84,8.56,0.0,1.25e-05,763.7
39,490.578398,434.058766,211.05,252.42,320.61,8.62,0.0,1.25e-05,781.6
40,498.484111,423.930259,203.37,243.6,309.39,8.6,0.0,1.25e-05,799.2
41,494.355726,411.47392,190.74,232.86,299.61,8.55,0.0,1.25e-05,816.9
42,490.051841,423.574244,202.84,246.72,311.42,8.54,0.0,1.25e-05,834.5
43,499.675722,412.731405,185.95,232.88,302.73,8.57,0.0,6.25e-06,852.4
44,490.091421,425.028496,204.58,245.86,312.39,8.52,0.0,6.25e-06,870.1
45,488.038836,416.172072,189.92,237.97,307.25,8.53,0.0,6.25e-06,888.0
46,489.783961,415.892068,191.65,238.52,307.52,8.55,0.0,6.25e-06,905.8
47,491.033182,414.985797,190.53,236.08,306.43,8.53,0.0,6.25e-06,923.7
48,488.952773,415.614307,187.29,236.8,308.96,8.55,0.0,6.25e-06,941.3
49,486.117688,394.527931,165.06,216.5,288.36,8.57,0.0,6.25e-06,959.0
50,486.537722,403.346498,175.84,225.09,296.31,8.57,0.0,6.25e-06,976.9
51,487.911608,412.281798,185.45,234.01,304.16,8.56,0.0,6.25e-06,994.9
